1,3,3
2,6,9
3,9,18
4,12,30
5,15,45
6,18,63
7,21,84
8,24,108
9,27,135
10,30,165
11,33,198
12,36,234
13,39,273
14,42,315
15,45,360
16,48,408
17,51,459
18,54,513
19,57,570
20,60,630
21,63,693
22,66,759
23,69,828
24,72,900
25,75,975
26,78,1053
27,81,1134
28,84,1218
29,87,1305
30,90,1395
31,93,1488
32,96,1584
33,99,1683
34,102,1785
35,105,1890
36,108,1998
37,111,2109
38,114,2223
39,117,2340
40,120,2460
41,123,2583
42,126,2709
43,129,2838
44,132,2970
45,135,3105
46,138,3243
47,141,3384
48,144,3528
49,147,3675
50,150,3825
