1,10,10
2,20,30
3,30,60
4,40,100
5,50,150
6,60,210
7,70,280
8,80,360
9,90,450
10,100,550
11,110,660
12,120,780
13,130,910
14,140,1050
15,150,1200
16,160,1360
17,170,1530
18,180,1710
19,190,1900
20,200,2100
21,210,2310
22,220,2530
23,230,2760
24,240,3000
25,250,3250
26,260,3510
27,270,3780
28,280,4060
29,290,4350
30,300,4650
31,310,4960
32,320,5280
33,330,5610
34,340,5950
35,350,6300
36,360,6660
37,370,7030
38,380,7410
39,390,7800
40,400,8200
41,410,8610
42,420,9030
43,430,9460
44,440,9900
45,450,10350
46,460,10810
47,470,11280
48,480,11760
49,490,12250
50,500,12750
