1,8,8
2,16,24
3,24,48
4,32,80
5,40,120
6,48,168
7,56,224
8,64,288
9,72,360
10,80,440
11,88,528
12,96,624
13,104,728
14,112,840
15,120,960
16,128,1088
17,136,1224
18,144,1368
19,152,1520
20,160,1680
21,168,1848
22,176,2024
23,184,2208
24,192,2400
25,200,2600
26,208,2808
27,216,3024
28,224,3248
29,232,3480
30,240,3720
31,248,3968
32,256,4224
33,264,4488
34,272,4760
35,280,5040
36,288,5328
37,296,5624
38,304,5928
39,312,6240
40,320,6560
41,328,6888
42,336,7224
43,344,7568
44,352,7920
45,360,8280
46,368,8648
47,376,9024
48,384,9408
49,392,9800
50,400,10200
