1,7,7
2,14,21
3,21,42
4,28,70
5,35,105
6,42,147
7,49,196
8,56,252
9,63,315
10,70,385
11,77,462
12,84,546
13,91,637
14,98,735
15,105,840
16,112,952
17,119,1071
18,126,1197
19,133,1330
20,140,1470
21,147,1617
22,154,1771
23,161,1932
24,168,2100
25,175,2275
26,182,2457
27,189,2646
28,196,2842
29,203,3045
30,210,3255
31,217,3472
32,224,3696
33,231,3927
34,238,4165
35,245,4410
36,252,4662
37,259,4921
38,266,5187
39,273,5460
40,280,5740
41,287,6027
42,294,6321
43,301,6622
44,308,6930
45,315,7245
46,322,7567
47,329,7896
48,336,8232
49,343,8575
50,350,8925
