1,4,4
2,8,12
3,12,24
4,16,40
5,20,60
6,24,84
7,28,112
8,32,144
9,36,180
10,40,220
11,44,264
12,48,312
13,52,364
14,56,420
15,60,480
16,64,544
17,68,612
18,72,684
19,76,760
20,80,840
21,84,924
22,88,1012
23,92,1104
24,96,1200
25,100,1300
26,104,1404
27,108,1512
28,112,1624
29,116,1740
30,120,1860
31,124,1984
32,128,2112
33,132,2244
34,136,2380
35,140,2520
36,144,2664
37,148,2812
38,152,2964
39,156,3120
40,160,3280
41,164,3444
42,168,3612
43,172,3784
44,176,3960
45,180,4140
46,184,4324
47,188,4512
48,192,4704
49,196,4900
50,200,5100
